Project,Client,Title,Duration
SOS1920-25,,#1 PRACTICA 2,03:11:18
SOS1920-25,,#10 D01:Api rest (Alemencla),03:01:30
SOS1920-25,,#11 Team Work,08:31:27
SOS1920-25,,#12 API Rest,47:45:35
SOS1920-25,,#13 D02: GUI(ALEMENCLA),06:43:35
SOS1920-25,,#14 Svelte,05:47:12
SOS1920-25,,#15 Frontend,24:23:46
SOS1920-25,,"#16 Travis,newman y Badge",02:16:20
SOS1920-25,,#17 Work in API,03:09:59
SOS1920-25,,#18 DO3 FINAL,02:51:25
SOS1920-25,,#19 DO3 Cor,17:44:02
SOS1920-25,,#2 Implementacion de Servidor Web,00:23:20
SOS1920-25,,#20 Cors,02:06:59
SOS1920-25,,#21 Integrations,23:31:20
SOS1920-25,,#22 Integrations,44:10:07
SOS1920-25,,#3 Crear archivo README.md,01:29:30
SOS1920-25,,#4 Entregable2,03:26:07
SOS1920-25,,#5 Clonación de github,02:03:04
SOS1920-25,,#5 Opcional,02:36:19
SOS1920-25,,#6 hola,00:00:12
SOS1920-25,,#6 Pruebas de la API,00:52:25
SOS1920-25,,#7 Continuación de la API,06:43:42
SOS1920-25,,#8 F03:API(alemencla),03:25:54
SOS1920-25,,#9 API,06:59:52
SOS1920-25,,Añadir informacion del grupo al README,00:17:45
SOS1920-25,,Clonación del repositorio común de la asignatura,00:01:12
SOS1920-25,,Clonar repositorio,00:19:41
SOS1920-25,,Entregable2,01:24:06
SOS1920-25,,,00:00:02
,,#6 hola,00:00:14
,,,00:10:24
